2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_credit_card] at [Wed Mar 12 17:58:11 2025].
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [ccmr(personal)]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_credit_card] Run Instance Name: [] Run Id: [96]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_credit_card.
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_credit_card] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2025-03-12 17:58:11 : INFO : (8096 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : CMN_1569 : Server Mode: [ASCII]
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6151 : The session sort order is [Binary].
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : CMN_65112 : Current Process ID:[8096]
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6156 : Using low precision processing.
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6187 : Session target-based commit interval is [10000].
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6307 : DTM error log disabled. 
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TE_7022 : TShmWriter: Initialized
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : DBG_21075 : Connecting to database [orcl], Type [Oracle], User [system]
2025-03-12 17:58:11 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6007 : DTM initialized successfully for session [s_m_credit_card]
2025-03-12 17:58:11 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : PETL_24033 : All DTM Connection Info: [<NONE>].
2025-03-12 17:58:11 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24004 : PETL_24004 Starting pre-session tasks. : (Wed Mar 12 17:58:11 2025)
2025-03-12 17:58:11 : INFO : (8096 | PRE-SESS) : (IS | IS) : node01 : PETL_24091 : Thread [PRE-SESS] has the ID [4].
2025-03-12 17:58:12 : INFO : (8096 | MANAGER) : (IS | IS) : node01 : PETL_24027 : PETL_24027 Pre-session task completed successfully. : (Wed Mar 12 17:58:12 2025)
2025-03-12 17:58:12 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : PETL_24006 : Starting data movement.
2025-03-12 17:58:12 : INFO : (8096 | DIRECTOR) : (IS | IS) : node01 : TT_11183 : Enabled using [1 (auto)] additional concurrent pipelines to build lookup caches. (Session likely will build or refresh [3] lookup caches; [0] on-demand only).
2025-03-12 17:58:12 : INFO : (8096 | MAPPING) : (IS | IS) : node01 : TM_6660 : Total Buffer Pool size is 1416256 bytes and Block size is 65536 bytes.
2025-03-12 17:58:12 : INFO : (8096 | LKPDP_1) : (IS | IS) : node01 : PETL_24091 : Thread [LKPDP_1] has the ID [5].
2025-03-12 17:58:12 : INFO : (8096 | LKPDP_1) : (IS | IS) : node01 : DBG_21097 : Lookup Transformation [LKPTRANS]: Default sql to create lookup cache: SELECT CUST_F_NAME,CUST_M_NAME,CUST_L_NAME,CUST_SSN FROM CDW_SAPP_D_CUSTOMER_2387411 ORDER BY CUST_SSN

2025-03-12 17:58:12 : INFO : (8096 | LKPDP_1) : (IS | IS) : node01 : TE_7212 : Increasing [Index Cache] size for transformation [LKPTRANS] from [59652323] to [59654000].
2025-03-12 17:58:12 : INFO : (8096 | LKPDP_1) : (IS | IS) : node01 : TE_7212 : Increasing [Data Cache] size for transformation [LKPTRANS] from [119304646] to [119308288].
2025-03-12 17:58:12 : INFO : (8096 | LKPDP_2) : (IS | IS) : node01 : PETL_24091 : Thread [LKPDP_2] has the ID [6].
